,titles,content,url
61,Hamas releases video it says is of Israeli captive in Gaza - Reuters.com,"GAZA, June 28 (Reuters) - Palestinian Islamist militant group Hamas released a video on Tuesday purporting to show an Israeli citizen being held captive in the Gaza Strip, the first such images of th… [+1681 chars]",https://www.reuters.com/world/middle-east/hamas-releases-video-it-says-is-israeli-captive-gaza-2022-06-28/
62,Osaka pulls out of Wimbledon due to Achilles injury - Reuters.com,"June 18 (Reuters) - Former world number one Naomi Osaka has pulled out of Wimbledon due to a left Achilles injury, the four-times Grand Slam champion said on Saturday.
Japan's Osaka suffered the inj… [+1415 chars]",https://www.reuters.com/lifestyle/sports/osaka-pulls-out-wimbledon-due-achilles-injury-2022-06-18/
63,Landmark gun-safety bill heads to U.S. House after Senate passage - Reuters,"A demonstrator holds a placard while taking part in the 'March for Our Lives', one of a series of nationwide protests against gun violence, in Washington, D.C., U.S., June 11, 2022. REUTERS/Joshua Ro… [+1664 chars]",https://www.reuters.com/world/us/landmark-gun-safety-bill-heads-us-house-after-senate-passage-2022-06-24/
64,Andreescu happy to earn first main draw win at Wimbledon - Reuters.com,"June 29 (Reuters) - Bianca Andreescu said she was pleased to earn her first main draw win at Wimbledon at the third attempt, five years on from a nervous debut at the grasscourt Grand Slam.
Both of … [+1433 chars]",https://www.reuters.com/lifestyle/sports/andreescu-happy-earn-first-main-draw-win-wimbledon-2022-06-29/
65,Tsitsipas rates tennis rivals' skills - Reuters.com,"LONDON, June 30 (Reuters) - Wimbledon's top seed Novak Djokovic ticks more boxes than his rivals when it comes to strokeplay, according to Stefanos Tsitsipas.
But the Greek fourth seed, fresh from a… [+1544 chars]",https://www.reuters.com/lifestyle/sports/tsitsipas-rates-tennis-rivals-skills-2022-06-30/
66,Amber Heard and Britney Spears Highlight the Stigma of Women's Mental Illness,The mental health of prominent women has faced particularly egregious public backbiting and scrutiny. This spring millions of online viewers tuned in to a multiweek defamation trial between Amber Hea… [+6053 chars],https://www.scientificamerican.com/article/amber-heard-and-britney-spears-highlight-the-stigma-of-women-rsquo-s-mental-illness/
67,Outrage at pay hike for Phoenix police under investigation over use of force,"A bumper pay hike for Phoenix police has been condemned by community advocates who argue the money should be spent tackling the citys extreme heat, homelessness and mental health crises.
At a heated… [+2967 chars]",https://amp.theguardian.com/us-news/2022/jun/17/outrage-pay-hike-phoenix-police-under-doj-investigation
68,Reeling From a Sudden Job Loss? Here’s How to Start Healing.,"A guide to moving forward.
""&gt;
Mike had been a successful executive for more than 20 years, turning troubled departments into efficient and quality-driven business lines. When a new leadership te… [+6936 chars]",https://hbr.org/2022/07/reeling-from-a-sudden-job-loss-heres-how-to-start-healing
69,The Senate Just Unveiled a New Bipartisan Gun Bill. Here’s What’s in It,"On Tuesday, a bipartisan group of senators released legislative text for a narrow set of gun safety measures, marking the most significant step towards toughening federal gun laws in nearly three dec… [+7901 chars]",https://time.com/6189655/gun-safety-bill-whats-in-it/
70,Gen Z money app Quirk launches personality tests to its users,"The news: The Gen-Z-focused money app Quirk provides financial guidance through personality tests, per
 AltFi.
Insider Intelligence
More about Quirk: The UK-based app
 launched to the public this… [+3580 chars]",https://www.businessinsider.com/uk-quirk-app-customizes-financial-guidance-through-personality-tests-2022-7
71,"New York City venue cancels concert by would-be Reagan assassin, citing ‘threats’","A concert by John Hinckley Jr, who shot and wounded President Ronald Reagan in 1981, has been canceled even as Hinckley was freed from federal court oversight, the New York City venue that had booked… [+1638 chars]",https://amp.theguardian.com/us-news/2022/jun/16/john-hinckley-jr-concert-canceled-threats
72,Ex-soldier jailed for murdering couple in Somerset after parking dispute,"A former soldier who murdered his nextdoor neighbours with a commando dagger after a dispute over parking has been told he will serve at least 38 years in prison before being considered for parole.
… [+1521 chars]",https://amp.theguardian.com/uk-news/2022/jun/21/collin-reeves-ex-soldier-jailed-murdering-couple-parking-dispute-somerset
73,Kelly Holmes on coming out as gay: ‘Sometimes I cry with relief’,"Dame Kelly Holmes has announced that she is gay, saying she needed to do this now.
Speaking during Pride month, the two-time gold medal winning Olympic champion said she realised she was gay at the … [+1516 chars]",https://amp.theguardian.com/sport/2022/jun/19/kelly-holmes-on-coming-out-as-gay-sometimes-i-cry-with-relief
74,What links Salvador Dalí to Christopher Wren? The Saturday quiz,"The questions
1 What was tugged to her last berth to be broken up?2 What is the vocal organ in birds?3 Which group are the Bulletproof Boy Scouts?4 After 37 years, what ends on 1 August?5 The Declar… [+1591 chars]",https://amp.theguardian.com/lifeandstyle/2022/jul/02/what-links-salvador-dali-to-christopher-wren-the-saturday-quiz
75,"Nearly 1 in 4 homeowners would have to sell home if interest rates rise more, survey suggests - CP24 Toronto's Breaking News","Nearly one in four homeowners say they will have to sell their home if interest rates go up further, according to a new debt survey from Manulife Bank of Canada.
The survey, conducted between April … [+908 chars]",https://www.cp24.com/news/nearly-1-in-4-homeowners-would-have-to-sell-home-if-interest-rates-rise-more-survey-suggests-1.5944600
76,The Pandemic Changed Us. Now Companies Have to Change Too.,"Employees are renegotiating their social contracts with work. Here’s what employers need to do to honor their end of the bargain.
""&gt;
It may sound obvious, but facing our collective mortality for… [+14834 chars]",https://hbr.org/2022/07/the-pandemic-changed-us-now-companies-have-to-change-too
77,"New gun legislation won't eliminate mass shootings, but it will still help: Experts",The Bipartisan Safer Communities Act signed into law last month most likely would not have prevented the recent Fourth of July massacre and won't eliminate future mass shootings -- but the legislatio… [+5910 chars],https://abcnews.go.com/US/gun-legislation-eliminate-mass-shootings-save-lives-experts/story?id=86391399
78,How I Overcome Adversity and Roadblocks as a Digital Entrepreneur,"I've had plenty of experience when it comes to adversity and roadblocks. Throughout my minor and major projects, countless systemic and personal difficulties have presented themselves. Yet, if I hadn… [+5768 chars]",https://www.entrepreneur.com/article/428774
79,The First Things You Need to Buy After Moving Into Your Starter Home,"Congratulations, you just bought your first home! After years of apartment living, exotic stuff like extra bedrooms, garage space, and a backyard seems pretty exciting, right? Even a modest starter h… [+7625 chars]",https://lifehacker.com/the-first-things-you-need-to-buy-after-moving-into-your-1849157065
80,UK court says newspaper story about Prince Harry was defamatory - Reuters.com,"LONDON, July 8 (Reuters) - A judge at the High Court in London ruled on Friday a newspaper article about Prince Harry's legal battle with the British government over his security arrangements was def… [+2227 chars]",https://www.reuters.com/world/uk/uk-court-says-newspaper-story-about-prince-harry-was-defamatory-2022-07-08/
